class,text
Camera, The popularity of the Canon Powershot G2 has had tongues wagging for many months  If only Canon would offer the advanced features and pro level performance of the G2 in a package that was like the super compact S110 and S300  oh  and at a bargain price too  then all would be right in the digital camera world  Well  Canon has done exactly what everyone has been clamoring for  The new Canon Powershot S40 offers almost all the advanced features available on the groundbreaking G2  compact size  almost as small as the Powershot S300  and a bargain price  The S40 is a feature rich four megapixel digital camera that offers advanced amateurs and pro photographers a compact digital imaging machine that provides more features and creative options than most photographers will ever use   A Few Words About Digital Photography Vs Traditional Film Photography  Contrary to popular belief digital photography and traditional film photography remain two separate and distinct mediums  Digital photography IS NOT going to replace traditional film photography any time in the foreseeable future  Both mediums have their strengths and their weaknesses and smart photographers will dismiss the hype and hyperbole and utilize each medium to its maximum capability for the applications it is best suited for  Digital photography is very convenient and it is possible to shoot digital images and utilize them only moments later  something that cannot be done with traditional 35mm film which must be processed first  Digital images  with the use of image manipulation programs like AdobePhotoShop  are capable of much more manipulation than traditional film images  Reality need not be a limiting factor for the digital photographer  who has the ability to create not only images that have never existed before  but also images that  in reality  could not possibly exist  What digital photography cannot do is show the nuances in contrast  depth of field effect  edge sharpness  bokeh  and color tonal dynamic range that traditional  especially slow slide and fine grain B W  film is capable of  The current crop of high resolution four and five megapixel digital cameras offer photographers more options than ever before  Good 11X14 enlargements of uncompressed digital image files are possible for the first time with consumer level digital cameras  Make no mistake digital 11X14 s will not outshine 11X14 enlargements made with slow speed slide  or fine grain B W  film  especially if they are viewed with a good quality 4X 6X loupe  Slow speed slide and fine grain B W film will produce acceptable to good 16X20 enlargements  something that is not possible with digital image files at this time unless they are custom printed Be careful that you don t fall into the digital photography is cheaper trap  because that argument doesn t hold any water  Digital cameras can cost from 3 to 10 times as much as a similar film camera  here s an example  the Nikon N65 film SLR runs about  300 and the Fuji Finepix S1 Pro Digital SLR  which actually has fewer features  runs about  2300  CF SM Memory Stick IBM MicroDrive storage media  the  film  for digital cameras  can add from  50 to  500 to the price of your digital camera  depending on capacity  Film cameras last longer and the technology moves much more slowly  Whatever digital camera you buy today is already two generations behind the cutting edge  manufacturers are in the final R D stages with the next digital camera and they are simultaneously working on the development of the successor to that model  and even more troubling are serious concerns about digital print longevity and technological obsolescence rendering digital image files un retrievable in the future b Do You Really Need a 4 or 5 Megapixel Digital Camera b Probably not  unless you are a serious amateur photographer or a professional  If you ve been using a pro 35mm SLR and pro quality zoom or prime  fixed focal length  lenses and shooting slow slide or fine grain B W film  then you are probably going to need a four or five megapixel digital to give you image quality that is comparable to what you are used to  If you ve been shooting with 35mm amateur SLR s  consumer level zooms  and color print film  then you are probably going to love digital photography  and if you shoot primarily snapshots  family  friends  life events  vacation  then you probably won t need anything more than a very good 2 megapixel  or if you occasionally want 8X10 enlargements  a good 3 megapixel  point and shoot  digital camera b Features  i Exposure  The PowerShot S40 offers Automatic  Program AE  Shutter Speed Priority AE  Aperture Priority AE  and Manual exposure modes plus  scene  settings for specific shooting situations   Color Effects  The Color Effects setting provides a choice of four color options  Vivid color  Neutral color  Sepia tone  or Black and White  effects are visible on the LCD monitor   Quick Review Mode  You can check the most recently recorded image  delete or save  and return to shooting mode easily i Exposure compensation  User adjustable  2 2 EV  in one third stop increments   Independent Exposure Lock  Another great feature from the G2  IEL  Independent Exposure Lock allows users to lock not only exposure but focus as well  Very handy for off center subjects and selective focus situations i White Balance  Auto  Daylight  Cloudy  Tungsten  Fluorescent  Fluorescent H  daylight  Flash  and Custom  The Custom mode allows users to manually set the white balance  with a white card   Sensitivity  Auto  50  100  200 and 400 ISO  35mm equivalents   In Camera Image Processing Controls  Contrast  Sharpness  and Saturation i Flash  Auto  Red Eye Reduction  Auto  Red Eye Reduction  Flash On  Flash On  and Flash Off  Flash output power can be adjusted  2 2 EV in one third step increments  Flash range  2 7 to 14 1 feet  9 10 feet is more accurate   Metering  Evaluative  Center Weighted  Averaging  and Spot  Auto Exposure Bracketing  The S40 will automatically shoot a series of three images  each one at a different setting  users can manually set exposure variation  2 2 EV in one third step increments  Technical Specifications  Resolution  4 0 Megapixel  2272 x 1704 LCD  1 8 inch Viewfinder  Optical Lens  3x optical zoom f 2 8 4 9 35 105  35mm equivalent  all glass 8 elements in 7 groups Exposure Modes  Automatic  program AE  shutter priority  aperture priority  and manual  plus  Image Zone  modes  Pan Focus  Portrait  Landscape  Night Scene  Color Effect  Stitch Assist  and Movie Shutter Speeds  1 1 500th of a second to 15 seconds Continuous Mode  9 frames at 1 5 frames sec Sensitivity  Auto  50  100  200  and 400  the S30 can shoot at up to ISO 800  Metering  Evaluative  center weighted  and spot White balance  Auto  Daylight  Cloudy  Tungsten  Fluorescent  Fluorescent H  daylight  Flash  and Custom Flash  Built in File Formats  JPEG  RAW  AVI   MPEG  and WAVE Storage Media  CompactFlash Type I or II  16Mb CF card included  User Selected  exposure compensation  flash exposure compensation  auto exposure bracketing and white balance Connectivity  USB Noise Reduction  Yes Power  Canon NB 2L lithium rechargeable battery pack DPOF  Digital Print Order Format  compatibility and Direct print to Canon S820D Bubble Jet Printer or the CP 10 Card printer Playback histogram with over exposure warning  Included  16Mb CompactFlash card NB 2L Li ion rechargeable battery Battery Charger Wrist strap USB cable A V cable CD ROM  Canon PowerShot Solutions  ArcSoft software  and drivers Printed camera and software users manuals  Optional  Canon underwater case  WP DC300  allows the S30 S40 to be used underwater at depths up to 30 meters   In the Field Handling and Operation  The weather here in Kentucky has been pretty typical for this time of year with warm pretty days followed by cold gray rainy days  My Friend  who sells and distributes photographic equipment  showed up the Saturday before St  Patrick s Day with a brand new S40 and asked if I wanted come out and play  My friend thought the compact stainless steel S40 body looked very cool and the sliding lens cover reminded him of the classic WWII Minox spy camera  We tested the S40 over the course of the St  Patrick s Day weekend  which was cold  gray  and rainy not optimal camera testing weather  We first set up a macro stage  Children  you can try this at home for directions see my review of the Olympus E 20N digital camera the URL is listed below  and spread out a collection of brightly colored plastic beach toys  on a white background  that we use to test digital camera color  After manually white balancing the camera we used the S40 to shoot brightly colored red  green  blue  and yellow plastic shapes  The S40 s colors were well saturated and accurate  The camera s White Balance handled the test lighting pretty well  though we both noticed a very slight warm cast with the Auto setting  The Manual white balance setting produced the best results  The S40 had some difficulty with incandescent  yellow  lighting  without flash  but when used with the flash the incandescent setting achieved nearly neutral results in the close range  The S40 s white balance worked better than most of the current digital cameras available under artificial lighting  The S40 s performance in this test was virtually identical to the tests we had done with the Canon G2  The PowerShot S40 takes about four seconds to extend the lens and  power up  before you can start shooting  Shutter lag is quite short  but longer than 35mm shutter lag times  The RAW mode is a great feature because it produces a much smaller file than the TIFF image modes of other cameras  RAW images from the S40 run about 2800 Kb and a TIFF file might run as high as 9000 Kb  Canon includes a RAW to TIFF software conversion application in the S40 s bundle b St  Patrick s Day  After finishing the basic color test we took the S40 outdoors to shoot some  street  shots of the colorfully clad characters returning from the St  Patrick s Day Parade  Our local St  Patrick s Day celebration has a much more provincial flavor than those in New York and Boston  with the spectators making up for their lack of sophistication with an abundance of enthusiasm and creativity  We spent about an hour shooting revelers wandering back and forth along Bardstown Road between the city s Irish Pubs  most of which are located in the Highlands  The S40 produced consistently great color images of the passionate St  Paddy s Day partyers  especially considering how dreary and gray the weather was  Caucasian skin tones in our Outdoor tests came out a little pink  but that may have been more a result of the brisk breeze and mid thirties temperatures than anything relevant to the S40 s performance  Optical distortion with the excellent 3X zoom was lower than average at the wide angle end  and the telephoto setting produced virtually distortion free images  Chromatic aberration  purple fringing  was noticeable but well controlled  The zoom displayed some noticeable softness in the corners of the frame  Low light performance was well above average  Noise in longer exposures is well controlled  even at the ISO 400 setting  Macro performance is very good with high resolution in close up images  The S40 s flash performance is about average for point n shoot digital cameras  a bit weak for general shooting and a little hot for macro work  The S40 is surprisingly fast  shutter lag is almost non existent  and shot to shot times are excellent   Mid America Trucking Show  The following Saturday we got together Saturday afternoon to visit the Mid America Trucking Show  the largest  Trucking Theme Show  in the world  More than 1 000 000 square feet of the cavernous West Wing of the Kentucky Fair and Exposition Center is given over to this diesel extravaganza  The show started right here in Louisville in 1971 and has gown bigger every year since  The Mid America Trucking Show draws more than 80 000 visitors to the Bluegrass State every spring to see the most beautifully painted and most technologically advanced trucks on the planet  My friend and I wanted to go because we had seen some shots of some the fantastic paint jobs on these diesel behemoths in TV ads for the show  Many of the fanciest trucks are entered in the Paul K  Young Memorial Truck Beauty Championship  Young was the founder the Truck show and after his death in 1998 the organizers wanted a signature event named after him  the truck beauty contest is a natural  Some of the Semi s entered in the contest have wonderfully complex murals that stretch the full length of the Cab and Trailer  just the sort of colorful stuff that is perfect for camera tests  All the illumination at the Kentucky Fair and Exposition center is fluorescent  so the truck show provided an excellent opportunity to check out the accuracy of the S40 s white balance system  which worked beautifully  There were also many people photography opportunities with more than 80 000 attendees from all fifty states and more than forty foreign countries and over 1000 exhibitors b A Few Concerns  The 3X zoom lens on the S40 is not threaded for use with add on lens adapters or filters  and this a really vexing omission  The built in flash is pretty weak and Canon chose not to provide any capability for using external flash  another glaring omission in a four megapixel digital camera  Battery life is decent  Canon says 180 200 images with constant LCD use and over 400 using only the optical viewfinder  we got a bit more than two hours of heavy use from a fully charged battery  moderate LCD use  The included 16Mb standard CF card isn t going to provide enough storage for anything more than a minor event  You ll need to purchase at least one 64Mb card and an additional battery to fully utilize the S40   Conclusion  After we finished our tests we printed the two best St  Patrick s Day image pairs at 5X7 and 8X10 and two 8X10 s from the truck show on an Epson Stylus Photo EPX 785 that we ve been testing  watch for the upcoming review of this exciting  digital darkroom  tool  We then carefully inspected the printed images using a Mamiya 4X loupe designed for checking medium format prints  they were as good as similar images we d printed from the G2  Color  contrast  resolution  and subjective  look  were comparable to any four megapixel digital camera currently available in terms of image quality  The S40 is an excellent general use digital camera that offers users just about all the manual exposure controls they might want  but works beautifully for neophyte photographers who want to shoot creative high quality digital images without learning basic photography skills  Recommended without reservation Are you considering spreading your imaging wings and setting up a  digital darkroom b  Check out my review of a bargain priced and very capable photo quality ink jet printer  The Epson Stylus Photo 780 ink jet Printer  a href content 54223670916 http www epinions com content 54223670916 a  For information on  How to Choose a Digital Camera  please see my review   a href elec review 2E46 17B174E2 39A418E3 prod1 http www epinions com elec review 2E46 17B174E2 39A418E3 prod1 a  For more information about specific Digital Camera models  please see my Digital Camera Reviews   Nikon Digital Cameras  Nikon Coolpix 5000  a href content 52720406148 http www epinions com content 52720406148 a  Nikon Coolpix 885  a href content 46290931332 http www epinions com content 46290931332 a  Nikon Coolpix 995  a href content 40256769668 http www epinions com content 40256769668 a  Nikon D1X  a href content 36023996036 http www epinions com content 36023996036 a  Nikon D1  a href elec review 4868 E2433E5 38737CF8 prod2 tk CB003 1 78 http www epinions com elec review 4868 E2433E5 38737CF8 prod2 tk CB003 1 78 a  Nikon Coolpix 880  a href elec review 2DA8 DF21E52 39E118CA prod5 http www epinions com elec review 2DA8 DF21E52 39E118CA prod5 a  Nikon Coolpix 990  a href elec review 3B78 3C431D90 3A345313 prod3 http www epinions com elec review 3B78 3C431D90 3A345313 prod3 a   Canon Digital Cameras  Canon Powershot S30 a href content 59041746564 http www epinions com content 59041746564 a Canon Powershot A20  a href content 56389701252 http www epinions com content 56389701252 a  Canon Powershot G2  a href content 47646084740 http www epinions com content 47646084740 a  Canon Powershot S10  a href content 7563808388 tk CB003 1 74 http www epinions com content 7563808388 tk CB003 1 74 a  Canon EOS D30  a href content 11625991812 tk CB003 1 58 http www epinions com content 11625991812 tk CB003 1 58 a  Canon Powershot PRO 90IS  a href content 30440001156 tk CB005 1 9 http www epinions com content 30440001156 tk CB005 1 9 a  Canon Powershot G1  a href content 8768294532 tk CB003 1 70 http www epinions com content 8768294532 tk CB003 1 70 a  Canon Powershot PRO 70  a href elec review 6496 25768DA 38C3E01A prod9 tk CB003 1 70 http www epinions com elec review 6496 25768DA 38C3E01A prod9 tk CB003 1 70 a   Sony Digital Cameras  Sony DSC S85  a href content 51957567108 http www epinions com content 51957567108 a  Sony MVC CD 300  a href content 45591793284 http www epinions com content 45591793284 a  Sony DSC S50 http a href content 15885897348 http www epinions com content 15885897348 a  Sony Mavica MVC CD1000  a href elec review 5F01 365BA12 3980602C prod3 tk CB003 1 14 http www epinions com elec review 5F01 365BA12 3980602C prod3 tk CB003 1 14 a   Olympus Digital Cameras  Olympus Camedia C3020 a href content 57190944388 http www epinions com content 57190944388 a Olymous Camedia E 20N  a href content 54953348740 http www epinions com content 54953348740 a  Olympus Camedia C3040  a href content 42675179140 http www epinions com content 42675179140 a  Olympus Camedia C3000  a href content 26106105476 tk CB003 1 30 http www epinions com content 26106105476 tk CB003 1 30 a  Olympus Camedia E10  a href elec review 59FB 183DFC73 3A17388F prod2 tk CB003 1 42 http www epinions com elec review 59FB 183DFC73 3A17388F prod2 tk CB003 1 42 a   Fuji Digital Cameras  Fuji Finepix 2600 Zoom a href content 58485149316 http www epinions com content 58485149316 a Fuji Finepix S1  PRO   a href elec review 5591 16816C34 39047A87 prod5 tk CB003 1 18 http www epinions com elec review 5591 16816C34 39047A87 prod5 tk CB003 1 18 a   Minolta Digital Cameras  Minolta Dimage 5  a href content 49104522884 http www epinions com content 49104522884 a  Just  cut n paste  the URL into your browser s address window  
Auto, Right before graduation  my  87 Grand Am finally rolled over and died  Faced with college and a summer job  I needed a car  Quick  After searching the Tulsa car market and coming up broke  except for a  95 Eclipse with known mechanical problems  my uncle s wife s sister s 1997 Dodge Avenger was our solution  I paid  6 000 for my  pull me over red  2 5 litre 4cylinder and could not be happier with it  The motor runs almost silently  and with 96k miles on it  the biggest repair I m currently looking at is replacing the idler belt and the timing chain  These motors  along with the Mitsubishi Eclipse and Eagle Talons have a known problem with the timing belt chain  In the Avenger  the problem has been acknowledged and the housing for the timing chain is on top of the motor for easy access  unlike those in Chevrolets and Fords  My biggest complaint is the ambiguity of the owner s manual  my dad is a do it yourself mechanic and refuses to take cars to the shop  The owner s manual has a few vague solutions for when the  Check Engine  light comes on  as mine recently has  so dad is having to systematically go through the engine and make small repairs while trying to find the real problem  Also  my Avenger has a very low turning radius  friends make fun of me when I back in and out of a spot trying to line it up  and I haven t quite nailed parallel parking in it yet  Sean  will you come park her car  She doesn t know how  Also  I have to turn off the air conditioning to get up enough speed to enter the expressway  the acceleration is very slow  but all in all  I love my new car  
Auto, I got a 4 door Kia Sportage because I needed the four wheel drive capabilities for where I was living at the time and I loved it  It would go just about anywhere I wanted to go and it was comfortable for me to drive I am over six feet tall  The dashboard is set up in a very readable manner and everything is within reach of the driver  You can haul people and stuff without being crowded together  I moved in it and didn t have a problem with space  It is very comfortable for long drives or just running to the store  it doesn t have overly hard or uncomfortable seats like most of the SUV s I have driven or ridden in  It is a good buy for just about anyone who likes to go four wheeling or just drive around br br  
Camera, I won mine in an online contest  It was so great to be among the winners  It really only cost me about 3 95 for faxing in my winners confirmation form  The shipping was even paid  When I received it via UPS I was totally clueless how to use a digital camera as I had never so much as touched one  It was very easy to learn how to use it though and super easy to use the software bundle that came with it to move my pictures from the camera to the computer  Here is what I found when I opened the box  ePhoto CL30 digital camera 4 MB CompactFlash memory card 4 cheap AA batteries Digital Camera soft case Agfa PhotoWise software with PhotoGenie technology for managing  and enhancing digital images and Twain driver Serial cable for PC Mac adapter cable USB cable Video cable Help Manual Here is what your PC will need to operate this camera  PC System Requirements  50 MB of available hard disk space VGA monitor with at least 256 colors Microsoft Windows 95  98 or NT Pentium processor or higher RS 232 9 pin port or USB port 2x or faster CD ROM Macintosh System Requirements  System 7 5 3 or higher Power PC processor Modem or USB port  Source  Quoted from box the camera came in  It is very lightweight but seems to be built exceptionally well  The pictures it takes are fabulous  Here is a link to some pictures I took with this camera the day after getting it http www crosswinds net heidiklaus purrsonal pageeleven html I also like this camera because it is very attractive looking  I love the grey silver color  I have seen other digital cameras that were just hideous and I would not be caught dead carrying  I am also fascinated with the LCD display on the back of the camera  It reminded me of using my video camera  I don t know if all digital cameras come with one but the AGFA ePhoto CL30 does  I wish I had had this on many regular cameras too  It would have made it that much easier to get a good shot  I was also very pleased that everything that was needed to start using the camera immediately was included right down to having batteries  I was taking pictures with it in seconds  and within minutes was loading them into my PC for editing  I am sold on AGFA digital cameras and I doubt very highly I will ever buy another brand  If I get one as a gift though I will try it out  One drawback is  and I am sure it is like this with all digital cameras  that it eats batteries  I was able to get around that by buying an adapter so I can plug it in when I am not using it out of doors  The adapter is a bit expensive but you save money on batteries and it is more environment friendly than the batteries are  I wonder if there is a digital camera with a video camera type battery that will last so many hours  That would be really nice  The Agfa ePhoto CL30 may be my first digital camera but in my opinion  it is hands down the best one  I would buy this as a gift for anyone     
Camera, Go out  look at all the models available in this range  as a matter of fact look at higher priced models  I dare you to find a better overall value for quality and features than the Fuji s602Z  The best price value around  No camera is perfect  they all have their pros and cons but look at all the pros and the few cons on this one and you will be sold  I know this sounds like an advertisement but the s602z is just that good  One of the fastest cameras you will ever find  The closest thing to an SLR without the size  weight and cost  The features are endless  just look at the list below for a few  Besides those  it just takes great pictures with no effort and fantastic pictures with a little effort  Look around the many Fuji Forums like the one at dpreview com and you can find thousands of sample pics that show the quality this camera can give  It also just feels good in your hand  menu system and dual function buttons  using a shift button  give you good quick control to most of the features  Try it  You ll like it  The value is incredible  Some of the feature that was important in my decision to buy it was  6x Zoom 15sec to 1 10 000 sec shutter speeds 5FPS mode Last 5Frames mode 40 pic motor drive Auto Bracketing Shooting Priority Modes  Aperture  Shutter  Sports  Landscape  Portrait  Night  B W  Full Manual or Full Auto Shift button menu functions Manual Focus with quick focus button Both Smartmedia and CF Microdrive Memory Slots Uses 4 AA batteries  I use NiMH rechargeable  View last picture before saving incl  multiple frame modes Histogram view before saving 640x480 30FPS Movie mode with sound  Can fill memory  VERY short lag time from shot to shot  You can add filters  Wide Tele lenses The list just goes on and on  And on top of it all  great quality pictures with up to 6MP resolution  it is an interpolated 6MP but comparable to at least 4MP on other cameras  and has gorgeous printed pictures  Buy this camera and you will not be sorry  I m not   
Auto, My Mazda delivered everything I hoped for for the price and more  I bought it fresh out of college  and drove it happily for three years until totalling it in an accident  WHO WOULD LOVE ONE A college student  recent grad  or family on a budget who are looking for reliability and a car they won t be ashamed to drive  but not necessarily something too flashy PROS  My Mazda never once broke down  refused to start  stalled  or underperformed  The ride was more comfortable with 5 passengers than any other car I ve ridden in for its size  It also handled multiple carseats well when babysitting  and the back doors  openings were wide enough to be practical loading packages  pets  or kids  It was great on gas  30 34MPG with an automatic  easy to park  and had plenty of storage space in the trunk  It handled very well in NH snow   a very big concern for me in the purchase decision  Braking and steering were very comfortable and responsive  Car was powerful enough to merge into traffic in a short distance    It had a good package of standard safety features  Visibility was overall very good  unlike some comparable 1997 makes with huge blind spots    When I priced insurance rates on it and other cars I was considering in its price class  the rates for the Mazda were lower than its competitors THE ACCIDENT   A BIG PRO The only reason I am not still driving this car is a big reason I would recommend it to others  I was in an accident where I was hit from the drivers side so hard that I spun into a guard rail  hitting it head on at about 20 mph  I am happy to report that the car performed above and beyond my expectations in this situation  Both airbags deployed  and my seatbelt obviously worked well  as I would expect  The crumple zones certainly crumpled   the car looked a mess  However  considering the force of both impacts  and the fact that I walked away without so much as a scratch  says a great deal to me about the safety of the car  As a side note  as a smaller woman  the force of the airbags was not enough to hurt me  and the design of the car allowed easy enough reach of the controls that I did not have to sit on top of the steering wheel like in other cars I ve driven The car also had low impact bumpers  where another car  nudged  me a few times  and there were no dents or scratches left CONS  Acceleration could have been better  particularly when the car was heavily loaded  or when going uphill  The road noise was more prominent than in some of its competitors  Baseline models are BASELINE   no frills there  The factory speakers weren t great   I ended up upgrading the stereo system  including the speakers    The transmission would sometimes shift a little heavily  and was not as smooth as other cars I ve ridden in  
Camera, I originally bought this digital camera from Best Buy for a whopping  80  I  at the time  thought this was an excellent price  Being a complete novice to digital camera shopping  I didn t realize that this digital camera listed no MegaPixel rating  This so called camera sits atop my computer desk as we speak  gathering dust  The battery holder lid is now missing  which means I cannot disconnect the camera from the computer since it cannot receive power any other way  The USB is like no other  meaning they can sell it exclusively for an insane  15  Not to mention that the USB cord is extremely short  I must say  this digital camera has been dropped  banged  and been through multiple moving vans  and still takes quality pictures  or at least what Aiptek calls  quality  Overall  this camera has some nice features  It records voice  though sound quality is terrible  works as a webcam  though resolution is limited  and can take high and low resolution pictures  though they both are horrible  horrible quality  This camera is also extremely light sensitive  Don t even think about taking indoor pictures  because there has to be blaring and blinding light shining on the scene for it to take the picture  If there is not enough lighting  the camera will make a low  annoying beep  If there is adequate lighting  it will make an even more annoying high pitched beep  The picture quality is grainy and just overall atrocious  High resolution pictures have to be shrunken to at least 300x300 to look remotely nice  My last words are  Do not buy this product unless you re that desperate  This Christmas I m buying myself the Concord Eye Q Go 2000 2 Megapixel camera  I recommend you do the same  and never think about buying this camera ever again  
Camera, As an amateur photographer who prefers a manual focus SLR and prime lenses for control and picture quality  I wanted a digital camera to take snapshots and as a  backup  camera for traveling pictures  My search led to the Sony DSC P71  a 3 2 megapixel camera with optional manual focus and digital settings that provide some decent options for picture taking  To my surprise  the P71 is a great little picture taker that often rivals the best of my Nikon  It has a very nice feature  an autofocus illuminator  that enables the camera to focus even in the dark as long as your subject is within about ten feet  It also has very little  shutter lag  allowing you to take pictures in normal conditions quickly one after another  It has a comprehensive and simple menu that is displayed at your option on the bright and colorful LCD screen  And it allows you to format the pictures in the camera itself by zooming in and trimming as you like it  the only danger is that too much zooming will undermine the quality of your picture  You can also set it to Landscape  Twilight or Twilight Portrait Mode  The last mode takes excellent photos of people at night yet still shows the city light background  It also has a 3x optical zoom that is excellent  but I do not recommend using the additional 2x digital zoom  Again  this will make your pictures too grainy  Another nice feature  it really feels like a camera  It s sturdy  the right size and has the LCD on the middle right where it should be  This way your left thumb can rest where it belongs  on the left side of the camera  Too many digitals have the LCD screens on the left where your thumb belongs The initial memory  stick  of 16 megabytes is inadequate  I bought a 64 MG that holds 40 3 megapixel photos at one time  The provided battery charger is slow  it takes at least ten hours to charge  I bought a  one hour  charger that will recharge two backups in about 90 minutes  With these optional purchases the P71 is a complete package The P71 is made for connectivity  It has a USB port to a computer and a video out that allows you to put on a slide show directly from your camera  very nice  And the memory stick can be plugged directly into most printers today  It also has an adapter slot to connect to your wall to save batteries There are  of course  some negatives  There is no external flash  The internal flash is superior for a point and shoot camera  but a through the lens external flash would be better  There is no sound even for the movie mode  so don t get it if you want this to be your video camera  also  The Pixel software for showing and adjusting your pictures is almost incomprehensible  The Help brings up instructions but they are unclear and at times incomprehensible  The adjustment features are rudimentary and the interface with Windows is terrible  The one time I did call Pixela service for help I got a very nice live person almost immediately  but the software still stinks  Thank goodness I already had Adobe Photoshop on my computer If you want a great digital camera that takes fantastic snapshots  that s compact and easy to use  then consider the 3 2 megapixel P71  It s all you will ever need and it s very quick for a digital camera  If you want movie sound  full manual controls  changeable lenses  external flash or to print out still shots larger than 8 x 10  consider a digital SLR or the Sony DSC 85  For most amateurs this is all the digital camera you will ever need  
Auto, This is my first vehicle that is not a car  I have never owned a motorcycle  motorhome  pickup truck or anything else other than mostly big roomy sedans  I like my creature comforts when tooling down the highway enroute to one golf resort or another  With about a year left to go on the Oldsmobile I got to thinking about minivans  and decided to do some research  I relied  too  on a friend who is now in his third straight minivan  no Fords for advice on what  besides the cupholders  are the advantages of minivan ownership  I used the Internet to do the research  relying heavily on Kelly Blue Book  www kbb com   and www edmunds com  Both are really good sites whether you are buying or leasing  and whether it s a car or a truck  Bottom line is that between them and my buddy  although he is absolutely not a Windstar guy  I decided that if I was getting a minivan it was going to be Ford s  It was a close call over the Honda Odyssey  Truth is there are a lot of great vehicles out there nowadays  Maybe you won t go wrong with any of them  but I am thinking that for the money you can t get much safer or more comfortable  I ve been driving mine now for about four months  and I believe that I am ready to evaluate it  I don t know much at all about the technical stuff  but I do know that I am satisfied with the gas mileage  The ride is nice  of course  when your vehicle is new you are careful to miss most bumps larger than a bottlecap  but nevertheless I did not miss a few and I can tell you from experience  It s a nice ride  I got the SE model with the  quot radar quot  in the back  That s the rear sensing system that saved me from an accident in a supermarket parking lot this past week  I never saw the guy  and I never would have had a chance if it wasn t for that alarm going off just in the nick of time  It s been the better part of 30 thirty years since I hit something I wasn t aiming at  and I can tell you I am real grateful for this alarm system  It would have been a minor ding I am sure  but it would have ruined a great driving record  Thanks again Ford  If this model doesn t have enough bells and whistles for you  well I gotta tell you that you are pretty spoiled  No matter though  they have two others  I think  loaded with even more stuff if you have to have it  The right side back door opens and closes at the push of a button  That s pretty neat  makes me wish I had gotten the left door that way too  You know what else is pretty neat  the outside mirrors   not only are they  quot powered mirrors quot  they are heated  To melt the ice which we will be getting our fair share of starting any day now  No more scraping mirrors  Works for me  I could go on with what I like about it  but if you re looking to buy one of these or one of the competition s versions  then I better tell you what I don t like about it as well  Gotta be fair  The right front door cannot be opened with a key   there is NO keyhole  My vehicle has  quot keyless entry quot  so I shouldn t complain  but I don t keep that little  quot doo jigger quot  on my keyring  It s my emergency backup in case I stupidly leave my keys in the car  again  and sometimes it would be handy to access that door with a key  For someone else or for packages  for example  I am not crazy about my cupholders  The ones in the front section of the car just under the radio that you have to pull out like a drawer  Well  they re a little chintzy if you ask me  I don t trust them to hold my medium diet pepsi  and they don t hold my coffee mug  So  what are they good for  Like the song says  quot Absolutely Nothin quot  The only other thing that really bugs me is the back door lift gate or whatever they call it  If anything ought to be  quot powered quot  this is it  I m guessing that if there is one feature that costs Ford the most customers this would have to be it  I believe that the Ford people would do well to hire themselves a woman engineer to check this door out from the point of view of people who are less than 6 1  220  and make it so it s a wee bit more user friendly  Dumbest door I ve ever seen  If you are thinking minivan for your next purchase  You might want to just take my word for it  I did the research  Windstar is a good deal br br  
Camera, Well  first off  this was my first digital camera  but I had done extensive amounts of research on them before coming to my conclusion  The main deciding factor was the price i was able to get it for off of Ebay  Well  the first thing that caught my eye  was the nice size  It is a nice travel companion  The 2 1 megapixels also helped because i knew i didnt want to go below two and have only internet worthy pics  but I wanted some power  I have taken this camera with me everywhere  and it has only failed me when i failed it  forgot to charge battery  wrong picture quality chosen  The case is amazing  I never would have thought that a company could make such a strong  metal  attractive case  and make it appealing to comsumers and professionals alike  Because most digital cameras on the market now  will be made of pure weak plastic shells  and a good strong case is a thing to look for if you want the camera to last  and this one will  With only one exception on my opinion  the jog dial  I had the camera in my pocket one day and i was on the tile floor  and i slipped and fell  Good news  no broken circuitry  bad news  the jog dial fell off  Nothing a little super glue and a fine tuned eye couldnt fix  like 6 pieces were involved  The most impressive aspects of this camera really got to shine when i was taking close ups  very good detail  night shots with flash  and black and white  very crisp images  One of the things i didnt like was the fact that there were no image settings like sepia  of negative  only black and white  A very handy feature on this little guy is the half touch focus  You push down the shutter button halfway and it auto focuses  One of the things i didnt like  was the 16 frame movie mode  It was useful on a rare occasion because it is basicaly taking 16 pictures them seaming them into one big picture  not in any movie format  just a colage  If you do take that kind of a movie  you can watch it on the camera  no sound  jerky  but not on your computer  The software features one very handy feature QuickFix  this is a one click solution to unscrewing the pictures that the camera screwed up in quality  Other than that on the software  i just use it to download the pics to the computer which is easy enough for me  You can adjust the cameras bulb speeds  which i havent found handy yet  but yet is the key word  I love the LCD display so much compared to all of the ones offered on sony models and so on  it is very crisp  bright and easy to read  The LCD leads me to the battery life  which can be greatly reduced with the use of the LCD  The battery just never seemed to pull throught when i needed it most  but hey  for what you can buy this camera for these days  you might as well get a better battery  right  Since im not a professional photographer  and I dont get paid for the pictures i take  Me and the PDR M4 are a perfect match  but hey  who says a pro could tell the difference  most can t  Over all  this camera is a great buy  the only camera that i will warn you not to buy if your life depends on it  is a sony mavica with a floppy drive  they are fat  loud  too bright  horrible picture quality  heavy  yet people and schools still buy them  don t waste your money  go for the PDR M4 it is worth every penny  
